drawing,Planning communication,5,2014-02-26
brief document,Tender letter,6,2014-03-23
drawing,Tender letter,1,2014-03-17
official letter,Localization issues,5,2014-02-25
minutes,Planning communication,5,2014-01-20
official letter,Localization issues,1,2014-01-03
official letter,Localization issues,6,2014-02-20
minutes,Localization issues,4,2014-03-23
cover letter,Contract negotiations,3,2014-03-20
cover letter,Negotiations,4,2014-03-23
minutes,Planning communication,5,2014-03-07
cover letter,Localization issues,6,2014-01-04
minutes,Planning communication,4,2014-02-14
minutes,Tender letter,3,2014-03-28
cover letter,Contract negotiations,4,2014-03-16
brief document,Commencement notice,4,2014-01-05
cover letter,Planning communication,4,2014-03-08
brief document,Contract negotiations,6,2014-02-19
minutes,Contract negotiations,3,2014-02-26
drawing,Contract negotiations,3,2014-02-25
cover letter,Planning communication,6,2014-01-01
cover letter,Localization issues,4,2014-03-01
official letter,Contract negotiations,3,2014-01-14
drawing,Negotiations,4,2014-02-03
brief document,Commencement notice,2,2014-02-25
official letter,Negotiations,3,2014-01-07
brief document,Planning communication,5,2014-01-14
drawing,Tender letter,4,2014-03-07
cover letter,Localization issues,5,2014-01-19
cover letter,Tender letter,3,2014-03-11
official letter,Contract negotiations,3,2014-03-21
cover letter,Tender letter,2,2014-01-04
official letter,Planning communication,5,2014-01-06
minutes,Planning communication,2,2014-01-07
brief document,Negotiations,6,2014-01-05
minutes,Negotiations,5,2014-02-26
cover letter,Commencement notice,6,2014-01-25
cover letter,Negotiations,4,2014-01-09
official letter,Tender letter,4,2014-02-27
cover letter,Planning communication,5,2014-02-22
minutes,Negotiations,1,2014-02-07
brief document,Localization issues,2,2014-03-11
cover letter,Negotiations,3,2014-03-07
minutes,Contract negotiations,6,2014-01-23
minutes,Contract negotiations,3,2014-01-14
official letter,Planning communication,1,2014-03-14
brief document,Tender letter,4,2014-03-18
minutes,Contract negotiations,3,2014-02-20
drawing,Contract negotiations,1,2014-01-21
brief document,Tender letter,5,2014-02-22
brief document,Negotiations,2,2014-03-21
minutes,Negotiations,4,2014-03-18
brief document,Commencement notice,1,2014-01-22
minutes,Tender letter,3,2014-01-04
official letter,Planning communication,3,2014-03-16
cover letter,Contract negotiations,4,2014-01-03
minutes,Tender letter,2,2014-02-08
official letter,Tender letter,2,2014-03-04
cover letter,Negotiations,5,2014-01-01
brief document,Commencement notice,5,2014-03-18
cover letter,Tender letter,6,2014-02-02
brief document,Tender letter,1,2014-02-18
cover letter,Localization issues,4,2014-01-12
minutes,Commencement notice,1,2014-03-12
brief document,Localization issues,1,2014-01-26
drawing,Tender letter,6,2014-02-13
brief document,Commencement notice,3,2014-03-26
minutes,Commencement notice,3,2014-02-05
minutes,Negotiations,4,2014-02-07
drawing,Localization issues,6,2014-02-09
brief document,Planning communication,6,2014-01-28
brief document,Negotiations,6,2014-03-04
drawing,Contract negotiations,3,2014-01-16
brief document,Localization issues,3,2014-02-20
brief document,Tender letter,4,2014-01-07
cover letter,Commencement notice,2,2014-03-16
official letter,Negotiations,3,2014-01-25
brief document,Commencement notice,1,2014-03-20
minutes,Planning communication,2,2014-03-03
drawing,Contract negotiations,3,2014-01-02
minutes,Localization issues,5,2014-03-16
brief document,Contract negotiations,2,2014-01-06
cover letter,Commencement notice,6,2014-03-15
drawing,Contract negotiations,3,2014-02-06
minutes,Commencement notice,4,2014-02-08
drawing,Planning communication,5,2014-02-24
official letter,Contract negotiations,1,2014-03-01
minutes,Negotiations,5,2014-02-26
drawing,Contract negotiations,3,2014-03-22
official letter,Commencement notice,1,2014-01-11
minutes,Commencement notice,6,2014-03-07
cover letter,Localization issues,3,2014-03-29
official letter,Localization issues,3,2014-01-06
official letter,Tender letter,4,2014-01-07
drawing,Contract negotiations,3,2014-01-04
brief document,Tender letter,6,2014-02-09
brief document,Commencement notice,2,2014-01-12
drawing,Localization issues,2,2014-01-25
minutes,Commencement notice,4,2014-01-10
drawing,Contract negotiations,3,2014-02-20
official letter,Negotiations,3,2014-01-05
drawing,Tender letter,5,2014-02-27
cover letter,Negotiations,6,2014-01-29
minutes,Commencement notice,4,2014-03-15
