Macy,Beane,01-6339144,example45@email.com,electrical engineers,senior,Business degree,false,
Ellen,Broderick,01-6339145,example46@email.com,electrical engineers,junior,Law Degree,true,
Dianna,Blanchard,01-6339146,example47@email.com,electrical engineers,senior,Business degree in Structural Engineering,false,
Brigid,Britton,01-6339147,example48@email.com,electrical engineers,senior,Prince,false,
Brandie,Bowers,01-6339148,example49@email.com,architects,junior,BSc in Architecture,false,
Darin,Brackett,01-6339149,example50@email.com,project managers,junior,Post Graduate Diploma,false,
Donald,Brittain,01-6339150,example51@email.com,electrical engineers,senior,Law Degree,false,
Herma,Braswell,01-6339151,example52@email.com,electrical engineers,junior,Law Degree,false,
Darnell,Bryan,01-6339152,example53@email.com,architects,senior,PMP,false,
Laurence,Beaty,01-6339153,example54@email.com,architects,intermediate,BSc in Architecture,false,
Garnet,Ayala,01-6339154,example55@email.com,environmental engineers,senior,BSc in Architecture,false,
Lacy,Alvarado,01-6339155,example56@email.com,architects,junior,BSc in Architecture,true,
Agatha,Bolen,01-6339156,example57@email.com,architects,junior,Post Graduate Diploma,false,
Dennis,Bynum,01-6339157,example58@email.com,environmental engineers,senior,BSc in Architecture,false,
Brianne,Aponte,01-6339158,example59@email.com,electrical engineers,senior,Business degree in Structural Engineering,false,
Lupe,Buck,01-6339159,example60@email.com,electrical engineers,intermediate,Post Graduate Diploma,false,
